附件1：违法网站域名（13480个）,,,,
序号,网站名称,URL,网站IP地址,类别
121,精鹰狗网,http://jyqg688.com,98.126.18.12,涉枪
122,气枪货到付款,http://kfjgsdi.info,72.11.151.54,涉枪
123,气枪货到付款专卖网,http://kjvadsf.info,72.11.151.56,涉枪
124,"气枪货到付款 ",http://kyha.info,173.201.216.76,涉枪
125,"pcp气枪销售 
",http://l.tyui0p.com,38.100.19.120,涉枪
126,"那里有仿真枪买卖 
",http://lantian2.com,49.247.252.59,涉枪
127,"乐山气枪专卖网 ",http://leshang.qiqiang2.com,97.74.179.1,涉枪
128,猎枪专卖店,http://lieqiang123.com,98.126.215.218,涉枪
129,"气枪专卖网 ",http://liopwedf.co.cc,112.175.243.24,涉枪
130,气枪货到付款,http://loveqigou.com,97.74.215.166,涉枪
131,泸州气枪专卖网,http://luzhou.qiqiang2.com,97.74.179.1,涉枪
132,"进口气枪网 ",http://m4cqb.net,184.168.212.251,涉枪
133,"汽枪网 
",http://mbwwuuko.com,183.90.185.33,涉枪
134,"气枪专卖网 ",http://mianyang.qiqiang2.com,97.74.179.1,涉枪
135,"钢珠枪 进口电狗",http://mk3000.info,173.201.216.20,涉枪
136,气枪专卖网,http://mk4.qiqi0.com,72.11.151.56,涉枪
137,"气枪产品中心 ",http://niaoqiang.org,205.209.184.134,涉枪
138,气枪专卖,http://nztcolhuisn.com,173.252.197.200,涉枪
139,"上海气枪厂专卖网 
",http://o.qqwert.net,38.100.19.120,涉枪
140,气枪货到付款,http://oigrej.info,72.11.151.56,涉枪
141,气枪货到付款,http://orejm.info,72.11.151.59,涉枪
142,气枪货到付款,http://oreu.info,72.11.151.58,涉枪
143,攀枝花气枪出售,http://panzhihua.qiqiang2.com,97.74.179.1,涉枪
144,鹏程汽狗专卖,http://pckj123.com,184.82.94.110,涉枪
145,"pcp气枪指定专卖店 
",http://pcpqiqiang.webng.com,38.100.19.105,涉枪
146,"鹏程汽狗专卖 ",http://pcqg888.com,184.82.94.110,涉枪
147,气枪货到付款,http://peijg.info,72.11.151.60,涉枪
148,气枪货到付款,http://poyb.info,72.11.151.54,涉枪
149,气枪货到付款,http://poyue.info,72.11.151.55,涉枪
150,高压气枪卖,http://ppk.00852qq.net,205.209.184.134,涉枪
151,"猎枪专卖店 (6)",http://q007q.com,173.252.204.105,涉枪
152,"气枪,气枪货到付款 
",http://q85q.com,173.252.204.105,涉枪
153,"工字牌专卖 ",http://qb6.org,184.171.169.35,涉枪
154,气枪专卖网,http://qb78.org,204.45.75.251,涉枪
155,"汽狗销售网 (11)",http://qg28.com,98.126.1.181,涉枪
156,友情气枪网,http://qg456.com,96.44.149.85,涉枪
157,"气枪气枪专卖店 ",http://qg666999.com,175.45.8.24,涉枪
158,"友情气枪专卖网 ",http://qg6868.com,72.11.151.198,涉枪
159,仿真枪专卖店,http://qg77.com,98.126.1.180,涉枪
160,"中国汽狗商城 ",http://qg7778.com,98.126.19.90,涉枪
161,"气枪专卖网 (61)",http://qg8088.co.cc,112.213.97.68,涉枪
162,"汽狗销售网 ",http://qg889.com,98.126.19.91,涉枪
163,汽狗销售网,http://qg928.com,98.126.19.90,涉枪
164,淘宝交易汽狗网,http://qg98098.com,66.212.29.137,涉枪
165,"英国骚本秃鹰气枪专卖店 (2)",http://qiang168.net,72.11.151.80,涉枪
166,枪支出售网,http://qiang8.byethost7.com,209.190.24.9,涉枪
167,仿真枪模型专卖,http://qiang888.com,96.44.149.83,涉枪
168,"气枪专卖商城 ",http://qiangfl.com,173.254.198.226,涉枪
169,猎枪专卖,http://qiangsc.com,174.139.91.187,涉枪
170,"气枪专卖 ",http://qiangw111.com,173.254.203.248,涉枪
171,"气枪专卖 ",http://qiangw123.com,205.209.167.107,涉枪
172,"哪里有气枪卖 
",http://qig88.com,66.212.29.139,涉枪
173,"上海工字气枪专卖 ",http://qigou111.com,204.12.220.202,涉枪
174,仿真气枪专卖网,http://qigou189.com,58.64.153.14,涉枪
175,"气枪爱好收藏网 ",http://qigou2.com,204.74.221.107,涉枪
176,气狗专卖店,http://qigou228.com,74.117.61.60,涉枪
177,"诚信气枪网 ",http://qigou360.com,76.164.231.228,涉枪
178,"汽枪网 ",http://qigou3721.com,66.212.29.141,涉枪
179,气枪专卖网,http://qigou666.in,216.24.194.103,涉枪
180,"中国汽狗商城 ",http://qigou678.com,98.126.19.90,涉枪
181,"气枪汽狗 ",http://qigou688.com,98.126.73.93,涉枪
182,八一气枪网,http://qigou789.com,74.82.170.117,涉枪
183,汽狗汽狗专卖,http://qigou80.com,50.6.90.181,涉枪
184,"气狗商城 ",http://qigou8618.tk,66.154.116.216,涉枪
185,"气枪货到付款 
",http://qigou918.com,74.117.61.8,涉枪
186,"气狗专卖网 
",http://qigou99.com,204.12.220.202,涉枪
187,淘宝交易气枪店,http://qigouba.tk,96.44.173.156,涉枪
